Items,group,Son,Audio1,Audio2
P1,A,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-Q-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-A-Topic.wav
P2,A,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-Q-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-A-Topic.wav
P1,B,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-Q-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-A-Topic.wav
P2,B,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-Q-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-A-Topic.wav
P1,C,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-Q-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P1-A-Topic.wav
P2,C,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-Q-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/mandarin_audio/main/MAN-P2-A-Topic.wav
